year	teamID	name	playerID
1950	NYK	Dick McGuire	mcguidi01
1950	NYK	Paul Noel	noelpa01
1950	NYK	Tex Ritter	rittete01
1950	NYK	Connie Simmons	simmoco01
1950	NYK	Butch van Breda Kolff	vanbrbu01
1950	NYK	Ernie Vandeweghe	vandeer01
1950	PHW	Nelson Bobb	bobbne01
1950	PHW	Jake Bornheimer	bornhja01
1950	PHW	Chink Crossin	crossch01
1950	PHW	Jerry Fleishman	fleisje01
1950	PHW	Joe Fulks	fulksjo01
1950	PHW	Vern Gardner	gardnve01
1950	PHW	Al Guokas	guokaal01
1950	PHW	Freddie Lewis	lewisfr01
1950	PHW	Ron Livingstone	livinro01
1950	PHW	Leo Mogus	mogusle01
1950	PHW	Jim Nolan	nolanji01
1950	PHW	Mike Novak	novakmi01
1950	PHW	Charlie Parsley	parslch01
1950	PHW	Johnny Payak	payakjo01
1950	PHW	Jerry Rullo	rulloje01
1950	PHW	Ed Sadowski	sadowed01
1950	PHW	George Senesky	senesge01
1950	ROC	Price Brookfield	brookpr01
1950	ROC	Bill Calhoun	calhobi01
1950	ROC	Jack Coleman	colemja01
1950	ROC	Fran Curran	currafr01
1950	ROC	Bob Davies	daviebo01
1950	ROC	Andy Duncan	duncaan01
1950	ROC	Red Holzman	holzmre01
1950	ROC	Arnie Johnson	johnsar01
1950	ROC	Ed Mikan	mikaned01
1950	ROC	Mike Novak	novakmi01
1950	ROC	Arnie Risen	risenar01
1950	ROC	Pep Saul	saulpe01
1950	ROC	Bobby Wanzer	wanzebo01
1950	SHE	Bob Brannum	brannbo01
1950	SHE	Jack Burmaster	burmaja01
1950	SHE	John Chaney	chanejo01
1950	SHE	Bobby Cook	cookbo01
1950	SHE	Don Grate	gratedo01
1950	SHE	Noble Jorgensen	jorgeno01
1950	SHE	Walt Lautenbach	lautewa01
1950	SHE	Matt Mazza	mazzama01
1950	SHE	Max Morris	morrima01
1950	SHE	Stan Patrick	patrist01
1950	SHE	Jack Phelan	phelaja01
1950	SHE	Milt Schoon	schoomi01
1950	SHE	Dick Schulz	schuldi01
1950	SHE	Glen Selbo	selbogl01
1950	SHE	Chips Sobek	sobekch01
1950	SHE	Danny Wagner	wagneda01
1950	SHE	Bob Wood	woodbo01
1950	STB	John Logan	loganjo01
1950	STB	Ed Macauley	macaued01
1950	STB	Ariel Maughan	maughar01
1950	STB	Mike McCarron	mccarmi01
1950	STB	Dermie O'Connell	oconnde01
1950	STB	Johnny Orr	orrjo01
1950	STB	Mac Otten	ottenma01
1950	STB	Easy Parham	parhaea01
1950	STB	Don Putman	putnado01
1950	STB	Bill Roberts	roberbi01
1950	STB	Red Rocha	rochare01
1950	STB	Belus Smawley	smawlbe01
1950	STB	Mike Todorovich	todormi01
1950	STB	D.C. Wilcutt	wilcudc01
1950	SYR	Al Cervi	cervial01
1950	SYR	Leroy Chollet	chollle01
1950	SYR	Ray Corley	corlera01
1950	SYR	Bill Gabor	gaborbi01
1950	SYR	Alex Hannum	hannual01
1950	SYR	Andrew Levane	levanan01
1950	SYR	Johnny Macknowswki	macknjo01
1950	SYR	Ed Peterson	petered01
1950	SYR	George Ratkovicz	ratkoge01
1950	SYR	Dolph Schayes	schaydo01
1950	SYR	Paul Seymour	seymopa01
1950	TRI	Gene Berce	bercege01
1950	TRI	John Chaney	chanejo01
1950	TRI	Dike Eddleman	eddledi01
1950	TRI	Gene Englund	engluge01
1950	TRI	Dee Gibson	gibsode01
1950	TRI	Billy Hassett	hassebi01
1950	TRI	Bill Henry	henrybi01
1950	TRI	Jack Kerris	kerrija01
1950	TRI	Walt Kirk	kirkwa01
1950	TRI	John Mahnken	mahnkjo01
1950	TRI	Jack Nichols	nichoja01
1950	TRI	George Nostrand	nostrge01
1950	TRI	Don Otten	ottendo01
1950	TRI	Mac Otten	ottenma01
1950	TRI	Red Owens	owensre01
1950	TRI	Warren Perkins	perkiwa01
1950	TRI	Don Ray	raydo01
1950	TRI	Dick Schulz	schuldi01
1950	TRI	Mike Todorovich	todormi01
1950	TRI	Gene Vance	vancege01
1950	TRI	Whitey Von Nieda	vonniwh01
1950	TRI	Murray Wier	wiermu01
1950	WAT	Don Boven	bovendo01
1950	WAT	Harry Boykoff	boykoha01
1950	WAT	Paul Cloyd	cloydpa01
1950	WAT	Elmer Gainer	gaineel01
1950	WAT	Hoot Gibson	gibsoho01
1950	WAT	Dale Hamilton	hamilda01
1950	WAT	Leo Kubiak	kubiale01
1950	WAT	Dick Mehen	mehendi01
1950	WAT	Ken Menke	menkeke01
1950	WAT	Al Miksis	miksial01
1950	WAT	Gene Ollrich	ollrige01
1950	WAT	Johnny Orr	orrjo01
1950	WAT	Stan Patrick	patrist01
1950	WAT	Johnny Payak	payakjo01
1950	WAT	Jack Phelan	phelaja01
1950	WAT	John Pritchard	pritcjo01
1950	WAT	Wayne See	seewa01
1950	WAT	Charley Shipp	shippch01
1950	WAT	Jack Smiley	smileja01
1950	WAT	Gene Stump	stumpge01
1950	WAT	Bob Tough	toughbo01
1950	WSC	Hook Dillon	dilloho01
1950	WSC	Bob Feerick	feeribo01
1950	WSC	Chuck Gilmur	gilmuch01
1950	WSC	Chick Halbert	halbech01
1950	WSC	Leo Katkaveck	katkale01
1950	WSC	John Mandic	mandijo01
1950	WSC	Bones McKinney	mckinbo01
1950	WSC	Jack Nichols	nichoja01
1950	WSC	Johnny Norlander	norlajo01
1950	WSC	Dick O'Keefe	okeefdi01
1950	WSC	Don Otten	ottendo01
1950	WSC	Chick Reiser	reisech01
1950	WSC	Dick Schulz	schuldi01
1950	WSC	Fred Scolari	scolafr01
1951	BLB	Walt Budko	budkowa01
1951	BLB	Tommy Byrnes	byrneto01
1951	BLB	Don Carlson	carlsdo01
1951	BLB	Ray Corley	corlera01
1951	BLB	Joe Dolhon	dolhojo01
1951	BLB	Chick Halbert	halbech01
1951	BLB	Billy Hassett	hassebi01
1951	BLB	Paul Hoffman	hoffmpa01
1951	BLB	Gene James	jamesge01
1951	BLB	Norm Mager	magerno01
1951	BLB	Dick Mehen	mehendi01
1951	BLB	Ken Murray	murrake01
1951	BLB	Tommy O'Keefe	okeefto01
1951	BLB	Don Otten	ottendo01
1951	BLB	Don Rehfeldt	rehfedo01
1951	BLB	Red Rocha	rochare01
1951	BLB	Kenny Sailors	sailoke01
1951	BLB	Belus Smawley	smawlbe01
1951	BLB	Brady Walker	walkebr01
1951	BOS	Harry Boykoff	boykoha01
1951	BOS	Chuck Cooper	coopech01
1951	BOS	Bob Cousy	cousybo01
1951	BOS	Bob Donham	donhabo01
1951	BOS	Andy Duncan	duncaan01
1951	BOS	Bob Harris	harribo01
1951	BOS	Kleggie Hermsen	hermskl01
1951	BOS	Sonny Hertzberg	hertzso01
1951	BOS	Frank Kudelka	kudelfr01
1951	BOS	Ed Leede	leedeed01
1951	BOS	Ed Macauley	macaued01
1951	BOS	John Mahnken	mahnkjo01
1951	BOS	Bones McKinney	mckinbo01
1951	BOS	Dick Mehen	mehendi01
1951	BOS	Kenny Sailors	sailoke01
1951	BOS	Ed Stanczak	stanced01
1951	BOS	Brady Walker	walkebr01
1951	FTW	Curly Armstrong	armstcu01
1951	FTW	Art Burris	burriar01
1951	FTW	Bob Carpenter	carpebo01
1951	FTW	Larry Foust	foustla01
1951	FTW	John Hargis	hargijo01
1951	FTW	Bob Harris	harribo01
1951	FTW	Ralph Johnson	johnsra01
1951	FTW	Jack Kerris	kerrija01
1951	FTW	Duane Klueh	kluehdu01
1951	FTW	Dick Mehen	mehendi01
1951	FTW	Ken Murray	murrake01
1951	FTW	John Oldham	oldhajo01
1951	FTW	Don Otten	ottendo01
1951	FTW	Jim Riffey	riffeji01
1951	FTW	Fred Schaus	schaufr01
1951	INO	Cliff Barker	barkecl01
1951	INO	Leo Barnhorst	barnhle01
1951	INO	Ralph Beard	beardra01
1951	INO	Leon Blevins	blevile01
1951	INO	Alex Groza	grozaal01
1951	INO	Bruce Hale	halebr01
1951	INO	Joe Holland	hollajo01
1951	INO	Wah Wah Jones	joneswa01
1951	INO	Bob Lavoy	lavoybo01
1951	INO	Don Lofgran	lofgrdo01
1951	INO	John Mahnken	mahnkjo01
1951	INO	Mal McMullen	mcmulma01
1951	INO	Chuck Mrazovich	mrazoch01
1951	INO	Carl Shaeffer	shaefca01
1951	INO	Paul Walther	walthpa01
1951	MNL	Ed Beach	beached01
1951	MNL	Arnie Ferrin	ferriar01
1951	MNL	Bud Grant	grantbu01
1951	MNL	Bob Harrison	harribo02
1951	MNL	Joe Hutton	huttojo01
1951	MNL	Tony Jaros	jarosto01
1951	MNL	Slater Martin	martisl01
1951	MNL	George Mikan	mikange01
