team,year,name,pts
HOU,1995,Charles Jones,4
HOU,1995,Pete Chilcutt,0
ORL,1995,Shaquille O'Neal,112
ORL,1995,Anfernee Hardaway,102
ORL,1995,Horace Grant,54
ORL,1995,Brian Shaw,50
ORL,1995,Nick Anderson,49
ORL,1995,Dennis Scott,42
ORL,1995,Anthony Bowie,13
ORL,1995,Jeff Turner,6
ORL,1995,Donald Royal,0
CHI,1996,Michael Jordan,164
CHI,1996,Scottie Pippen,94
CHI,1996,Toni Kukoč,78
CHI,1996,Luc Longley,70
CHI,1996,Dennis Rodman,45
CHI,1996,Ron Harper,39
CHI,1996,Steve Kerr,30
CHI,1996,Randy Brown,17
CHI,1996,Bill Wennington,17
CHI,1996,Jud Buechler,4
CHI,1996,John Salley,0
SEA,1996,Shawn Kemp,140
SEA,1996,Gary Payton,108
SEA,1996,Detlef Schrempf,98
SEA,1996,Hersey Hawkins,80
SEA,1996,Sam Perkins,67
SEA,1996,David Wingate,15
SEA,1996,Nate McMillan,11
SEA,1996,Vincent Askew,7
SEA,1996,Frank Brickowski,5
SEA,1996,Ervin Johnson,4
SEA,1996,Steve Scheffler,0
SEA,1996,Eric Snow,0
CHI,1997,Michael Jordan,194
CHI,1997,Scottie Pippen,120
CHI,1997,Toni Kukoč,48
CHI,1997,Bison Dele,41
CHI,1997,Luc Longley,41
CHI,1997,Ron Harper,29
CHI,1997,Steve Kerr,26
CHI,1997,Dennis Rodman,14
CHI,1997,Jud Buechler,10
CHI,1997,Randy Brown,4
CHI,1997,Jason Caffey,0
UTA,1997,Karl Malone,143
UTA,1997,John Stockton,90
UTA,1997,Jeff Hornacek,72
UTA,1997,Bryon Russell,68
UTA,1997,Greg Foster,33
UTA,1997,Howard Eisley,32
UTA,1997,Greg Ostertag,26
UTA,1997,Chris Morris,21
UTA,1997,Antoine Carr,18
UTA,1997,Shandon Anderson,17
UTA,1997,Adam Keefe,3
CHI,1998,Michael Jordan,201
CHI,1998,Scottie Pippen,94
CHI,1998,Toni Kukoč,91
CHI,1998,Ron Harper,32
CHI,1998,Luc Longley,30
CHI,1998,Steve Kerr,23
CHI,1998,Scott Burrell,21
CHI,1998,Dennis Rodman,20
CHI,1998,Jud Buechler,8
CHI,1998,Bill Wennington,4
CHI,1998,Randy Brown,2
CHI,1998,Dickey Simpkins,2
UTA,1998,Karl Malone,150
UTA,1998,Jeff Hornacek,64
UTA,1998,John Stockton,58
UTA,1998,Bryon Russell,53
UTA,1998,Shandon Anderson,44
UTA,1998,Howard Eisley,28
UTA,1998,Chris Morris,26
UTA,1998,Antoine Carr,25
UTA,1998,Adam Keefe,14
UTA,1998,Greg Ostertag,11
UTA,1998,Greg Foster,8
UTA,1998,Jacque Vaughn,0
SAS,1999,Tim Duncan,137
SAS,1999,David Robinson,83
SAS,1999,Mario Elie,58
SAS,1999,Avery Johnson,46
SAS,1999,Sean Elliott,40
SAS,1999,Jaren Jackson,33
SAS,1999,Antonio Daniels,10
SAS,1999,Steve Kerr,9
SAS,1999,Malik Rose,6
SAS,1999,Jerome Kersey,2
SAS,1999,Gerard King,0
NYK,1999,Latrell Sprewell,130
NYK,1999,Allan Houston,108
NYK,1999,Marcus Camby,48
NYK,1999,Larry Johnson,38
NYK,1999,Charlie Ward,29
NYK,1999,Kurt Thomas,28
NYK,1999,Chris Childs,12
NYK,1999,Chris Dudley,6
NYK,1999,Rick Brunson,0
NYK,1999,Herb Williams,0
LAL,2000,Shaquille O'Neal,228
LAL,2000,Kobe Bryant,78
LAL,2000,Glen Rice,69
LAL,2000,Ron Harper,65
LAL,2000,Robert Horry,55
LAL,2000,Rick Fox,40
LAL,2000,Derek Fisher,36
LAL,2000,A.C. Green,30
LAL,2000,Brian Shaw,18
LAL,2000,Travis Knight,5
LAL,2000,John Salley,4
LAL,2000,Devean George,1
IND,2000,Reggie Miller,146
IND,2000,Jalen Rose,138
IND,2000,Austin Croshere,91
IND,2000,Rik Smits,60
IND,2000,Mark Jackson,58
IND,2000,Dale Davis,52
IND,2000,Sam Perkins,36
IND,2000,Travis Best,35
IND,2000,Derrick McKey,11
IND,2000,Jonathan Bender,7
IND,2000,Chris Mullin,4
IND,2000,Žan Tabak,2
LAL,2001,Shaquille O'Neal,165
LAL,2001,Kobe Bryant,123
LAL,2001,Derek Fisher,49
LAL,2001,Rick Fox,49
LAL,2001,Robert Horry,42
LAL,2001,Horace Grant,26
LAL,2001,Tyronn Lue,18
LAL,2001,Brian Shaw,18
LAL,2001,Ron Harper,13
LAL,2001,Mark Madsen,0
PHI,2001,Allen Iverson,178
PHI,2001,Dikembe Mutombo,84
PHI,2001,Eric Snow,63
PHI,2001,Aaron McKie,40
PHI,2001,Tyrone Hill,33
PHI,2001,Matt Geiger,26
PHI,2001,Raja Bell,13
PHI,2001,Todd MacCulloch,13
PHI,2001,Jumaine Jones,10
PHI,2001,Kevin Ollie,5
PHI,2001,Rodney Buford,2
PHI,2001,George Lynch,2
LAL,2002,Shaquille O'Neal,145
LAL,2002,Kobe Bryant,107
LAL,2002,Derek Fisher,51
LAL,2002,Rick Fox,39
LAL,2002,Robert Horry,32
LAL,2002,Devean George,26
LAL,2002,Brian Shaw,14
LAL,2002,Samaki Walker,4
LAL,2002,Lindsey Hunter,2
LAL,2002,Stanislav Medvedenko,2
LAL,2002,Mitch Richmond,2
LAL,2002,Mark Madsen,0
NJN,2002,Kenyon Martin,88
NJN,2002,Jason Kidd,83
NJN,2002,Kerry Kittles,50
NJN,2002,Keith Van Horn,42
NJN,2002,Lucious Harris,31
NJN,2002,Todd MacCulloch,30
NJN,2002,Richard Jefferson,27
NJN,2002,Jason Collins,17
NJN,2002,Aaron Williams,14
NJN,2002,Anthony Johnson,5
NJN,2002,Donny Marshall,0
NJN,2002,Brian Scalabrine,0
SAS,2003,Tim Duncan,145
SAS,2003,Tony Parker,84
SAS,2003,David Robinson,65
SAS,2003,Stephen Jackson,62
SAS,2003,Manu Ginóbili,52
SAS,2003,Malik Rose,46
SAS,2003,Speedy Claxton,37
SAS,2003,Bruce Bowen,20
SAS,2003,Steve Kerr,8
SAS,2003,Kevin Willis,8
SAS,2003,Danny Ferry,0
SAS,2003,Steve Smith,0
NJN,2003,Jason Kidd,118
NJN,2003,Kenyon Martin,88
NJN,2003,Richard Jefferson,79
NJN,2003,Kerry Kittles,65
NJN,2003,Lucious Harris,39
NJN,2003,Rodney Rogers,28
NJN,2003,Aaron Williams,28
NJN,2003,Jason Collins,22
NJN,2003,Dikembe Mutombo,14
NJN,2003,Anthony Johnson,11
NJN,2003,Brian Scalabrine,0
NJN,2003,Tamar Slay,0
DET,2004,Richard Hamilton,107
DET,2004,Chauncey Billups,105
DET,2004,Rasheed Wallace,65
DET,2004,Ben Wallace,54
DET,2004,Tayshaun Prince,50
DET,2004,Corliss Williamson,21
DET,2004,Lindsey Hunter,18
DET,2004,Elden Campbell,17
DET,2004,Mehmet Okur,11
DET,2004,Mike James,4
DET,2004,Darvin Ham,2
DET,2004,Darko Miličić,0
LAL,2004,Shaquille O'Neal,133
LAL,2004,Kobe Bryant,113
LAL,2004,Derek Fisher,32
LAL,2004,Devean George,29
LAL,2004,Gary Payton,21
LAL,2004,Karl Malone,20
LAL,2004,Stanislav Medvedenko,18
LAL,2004,Kareem Rush,18
LAL,2004,Luke Walton,13
LAL,2004,Rick Fox,8
LAL,2004,Brian Cook,4
LAL,2004,Bryon Russell,0
SAS,2005,Tim Duncan,144
SAS,2005,Manu Ginóbili,131
SAS,2005,Tony Parker,97
SAS,2005,Robert Horry,74
SAS,2005,Bruce Bowen,55
SAS,2005,Nazr Mohammed,34
SAS,2005,Brent Barry,32
SAS,2005,Beno Udrih,12
SAS,2005,Devin Brown,11
SAS,2005,Rasho Nesterović,2
SAS,2005,Glenn Robinson,2
SAS,2005,Tony Massenburg,0
DET,2005,Chauncey Billups,143
DET,2005,Richard Hamilton,117
DET,2005,Rasheed Wallace,76
DET,2005,Ben Wallace,75
DET,2005,Antonio McDyess,71
DET,2005,Tayshaun Prince,71
DET,2005,Lindsey Hunter,39
DET,2005,Carlos Arroyo,11
DET,2005,Darvin Ham,2
DET,2005,Darko Miličić,2
DET,2005,Elden Campbell,0
DET,2005,Ronald Dupree,0
MIA,2006,Dwyane Wade,208
MIA,2006,Antoine Walker,83
MIA,2006,Shaquille O'Neal,82
MIA,2006,Jason Williams,53
MIA,2006,James Posey,44
MIA,2006,Udonis Haslem,39
MIA,2006,Alonzo Mourning,26
MIA,2006,Gary Payton,16
MIA,2006,Shandon Anderson,6
MIA,2006,Michael Doleac,0
MIA,2006,Jason Kapono,0
DAL,2006,Dirk Nowitzki,137
DAL,2006,Jason Terry,132
DAL,2006,Josh Howard,88
DAL,2006,Jerry Stackhouse,64
DAL,2006,Devin Harris,44
DAL,2006,Erick Dampier,34
DAL,2006,Adrian Griffin,18
DAL,2006,Marquis Daniels,17
DAL,2006,DeSagana Diop,10
DAL,2006,Keith Van Horn,7
DAL,2006,Darrell Armstrong,0
DAL,2006,Didier Ilunga-Mbenga,0
DAL,2006,Josh Powell,0
SAS,2007,Tony Parker,98
SAS,2007,Tim Duncan,73
SAS,2007,Manu Ginóbili,71
SAS,2007,Bruce Bowen,24
SAS,2007,Fabricio Oberto,17
SAS,2007,Francisco Elson,16
SAS,2007,Michael Finley,15
SAS,2007,Brent Barry,12
SAS,2007,Robert Horry,12
SAS,2007,Jacque Vaughn,8
SAS,2007,Beno Udrih,0
CLE,2007,LeBron James,88
CLE,2007,Drew Gooden,51
CLE,2007,Daniel Gibson,43
CLE,2007,Sasha Pavlović,39
CLE,2007,Zydrunas Ilgauskas,31
CLE,2007,Anderson Varejão,30
CLE,2007,Damon Jones,18
CLE,2007,Donyell Marshall,15
CLE,2007,Eric Snow,5
CLE,2007,Larry Hughes,2
CLE,2007,Shannon Brown,0
CLE,2007,Ira Newble,0
CLE,2007,Scot Pollard,0
BOS,2008,Paul Pierce,131
BOS,2008,Ray Allen,122
BOS,2008,Kevin Garnett,109
BOS,2008,Rajon Rondo,56
BOS,2008,James Posey,52
BOS,2008,Leon Powe,37
BOS,2008,Eddie House,32
BOS,2008,P.J. Brown,24
BOS,2008,Kendrick Perkins,20
BOS,2008,Sam Cassell,19
BOS,2008,Tony Allen,8
BOS,2008,Glen Davis,3
LAL,2008,Kobe Bryant,154
LAL,2008,Pau Gasol,88
LAL,2008,Lamar Odom,81
LAL,2008,Derek Fisher,65
LAL,2008,Sasha Vujačić,50
LAL,2008,Vladimir Radmanović,44
LAL,2008,Jordan Farmar,42
LAL,2008,Luke Walton,15
LAL,2008,Trevor Ariza,13
LAL,2008,Ronny Turiaf,11
LAL,2008,Chris Mihm,0
LAL,2009,Kobe Bryant,162
LAL,2009,Pau Gasol,93
LAL,2009,Lamar Odom,67
LAL,2009,Trevor Ariza,55
LAL,2009,Derek Fisher,55
LAL,2009,Andrew Bynum,30
LAL,2009,Luke Walton,19
LAL,2009,Jordan Farmar,17
LAL,2009,Josh Powell,5
LAL,2009,Shannon Brown,0
LAL,2009,Didier Ilunga-Mbenga,0
LAL,2009,Sasha Vujačić,0
ORL,2009,Hedo Türkoğlu,90
ORL,2009,Rashard Lewis,87
ORL,2009,Dwight Howard,77
ORL,2009,Rafer Alston,53
ORL,2009,Mickaël Piétrus,53
ORL,2009,Courtney Lee,29
ORL,2009,J.J. Redick,22
ORL,2009,Jameer Nelson,19
ORL,2009,Marcin Gortat,16
ORL,2009,Tony Battie,10
LAL,2010,Kobe Bryant,200
LAL,2010,Pau Gasol,130
LAL,2010,Metta World Peace,74
LAL,2010,Derek Fisher,60
LAL,2010,Lamar Odom,53
LAL,2010,Andrew Bynum,52
LAL,2010,Shannon Brown,21
LAL,2010,Jordan Farmar,21
LAL,2010,Sasha Vujačić,21
LAL,2010,Luke Walton,2
LAL,2010,Didier Ilunga-Mbenga,0
LAL,2010,Josh Powell,0
BOS,2010,Paul Pierce,126
BOS,2010,Kevin Garnett,107
BOS,2010,Ray Allen,102
BOS,2010,Rajon Rondo,95
BOS,2010,Glen Davis,47
BOS,2010,Rasheed Wallace,37
BOS,2010,Kendrick Perkins,35
BOS,2010,Nate Robinson,34
BOS,2010,Tony Allen,22
BOS,2010,Marquis Daniels,5
BOS,2010,Michael Finley,0
BOS,2010,Brian Scalabrine,0
BOS,2010,Shelden Williams,0
DAL,2011,Dirk Nowitzki,156
DAL,2011,Jason Terry,108
DAL,2011,Shawn Marion,82
DAL,2011,Tyson Chandler,58
DAL,2011,J.J. Barea,53
DAL,2011,Jason Kidd,46
DAL,2011,DeShawn Stevenson,42
DAL,2011,Ian Mahinmi,9
DAL,2011,Brian Cardinal,7
DAL,2011,Brendan Haywood,5
DAL,2011,Peja Stojaković,2
MIA,2011,Dwyane Wade,159
MIA,2011,Chris Bosh,111
MIA,2011,LeBron James,107
MIA,2011,Mario Chalmers,71
MIA,2011,Udonis Haslem,40
MIA,2011,Mike Miller,21
MIA,2011,Mike Bibby,19
MIA,2011,Eddie House,9
MIA,2011,Juwan Howard,9
MIA,2011,Joel Anthony,8
MIA,2012,LeBron James,143
MIA,2012,Dwyane Wade,113
MIA,2012,Chris Bosh,73
MIA,2012,Shane Battier,58
MIA,2012,Mario Chalmers,52
MIA,2012,Mike Miller,31
MIA,2012,Norris Cole,13
MIA,2012,Udonis Haslem,13
MIA,2012,James Jones,11
MIA,2012,Terrel Harris,3
MIA,2012,Joel Anthony,0
MIA,2012,Juwan Howard,0
MIA,2012,Ronny Turiaf,0
OKC,2012,Kevin Durant,153
OKC,2012,Russell Westbrook,135
OKC,2012,James Harden,62
OKC,2012,Serge Ibaka,35
OKC,2012,Derek Fisher,28
OKC,2012,Kendrick Perkins,24
OKC,2012,Thabo Sefolosha,23
OKC,2012,Nick Collison,18
OKC,2012,Royal Ivey,6
OKC,2012,Cole Aldrich,2
OKC,2012,Daequan Cook,2
OKC,2012,Lazar Hayward,2
MIA,2013,LeBron James,177
MIA,2013,Dwyane Wade,137
MIA,2013,Chris Bosh,83
MIA,2013,Ray Allen,74
MIA,2013,Mario Chalmers,74
MIA,2013,Shane Battier,39
MIA,2013,Mike Miller,37
MIA,2013,Chris Andersen,22
MIA,2013,Norris Cole,15
MIA,2013,Udonis Haslem,9
MIA,2013,James Jones,6
MIA,2013,Rashard Lewis,4
MIA,2013,Joel Anthony,2
SAS,2013,Tim Duncan,132
SAS,2013,Tony Parker,110
SAS,2013,Kawhi Leonard,102
SAS,2013,Danny Green,98
SAS,2013,Manu Ginóbili,81
SAS,2013,Gary Neal,66
SAS,2013,Tiago Splitter,34
SAS,2013,Boris Diaw,24
SAS,2013,DeJuan Blair,11
SAS,2013,Matt Bonner,11
SAS,2013,Cory Joseph,11
SAS,2013,Patty Mills,4
SAS,2013,Nando De Colo,0
SAS,2013,Tracy McGrady,0
SAS,2014,Tony Parker,90
SAS,2014,Kawhi Leonard,89
SAS,2014,Tim Duncan,77
SAS,2014,Manu Ginóbili,72
SAS,2014,Patty Mills,51
SAS,2014,Danny Green,46
SAS,2014,Boris Diaw,31
SAS,2014,Tiago Splitter,31
SAS,2014,Marco Belinelli,23
SAS,2014,Aron Baynes,6
SAS,2014,Jeff Ayres,5
SAS,2014,Matt Bonner,5
SAS,2014,Cory Joseph,2
MIA,2014,LeBron James,141
MIA,2014,Dwyane Wade,76
MIA,2014,Chris Bosh,70
MIA,2014,Ray Allen,49
MIA,2014,Rashard Lewis,43
MIA,2014,Mario Chalmers,22
MIA,2014,Norris Cole,16
MIA,2014,Chris Andersen,13
MIA,2014,James Jones,11
MIA,2014,Michael Beasley,9
MIA,2014,Toney Douglas,4
MIA,2014,Udonis Haslem,4
MIA,2014,Shane Battier,0
MIA,2014,Greg Oden,0
GSW,2015,Stephen Curry,156
GSW,2015,Andre Iguodala,98
GSW,2015,Klay Thompson,95
GSW,2015,Draymond Green,78
GSW,2015,Harrison Barnes,53
GSW,2015,Leandro Barbosa,31
GSW,2015,Shaun Livingston,30
GSW,2015,Festus Ezeli,22
GSW,2015,David Lee,22
GSW,2015,Andrew Bogut,10
GSW,2015,Marreese Speights,9
GSW,2015,Justin Holiday,0
GSW,2015,James Michael McAdoo,0
CLE,2015,LeBron James,215
CLE,2015,Timofey Mozgov,84
CLE,2015,J.R. Smith,69
CLE,2015,Tristan Thompson,60
CLE,2015,Matthew Dellavedova,45
CLE,2015,Iman Shumpert,39
CLE,2015,Kyrie Irving,23
CLE,2015,James Jones,20
CLE,2015,Mike Miller,3
CLE,2015,Kendrick Perkins,2
CLE,2015,Joe Harris,1
CLE,2016,LeBron James,208
CLE,2016,Kyrie Irving,190
CLE,2016,J.R. Smith,74
CLE,2016,Tristan Thompson,72
CLE,2016,Kevin Love,51
CLE,2016,Richard Jefferson,40
CLE,2016,Iman Shumpert,21
CLE,2016,Matthew Dellavedova,16
CLE,2016,Mo Williams,9
CLE,2016,Dahntay Jones,8
CLE,2016,Timofey Mozgov,7
CLE,2016,Jordan McRae,4
CLE,2016,Channing Frye,2
CLE,2016,James Jones,1
GSW,2016,Stephen Curry,158
GSW,2016,Klay Thompson,137
GSW,2016,Draymond Green,99
GSW,2016,Harrison Barnes,65
GSW,2016,Andre Iguodala,64
GSW,2016,Shaun Livingston,58
GSW,2016,Leandro Barbosa,49
GSW,2016,Andrew Bogut,16
GSW,2016,Festus Ezeli,14
GSW,2016,Marreese Speights,14
GSW,2016,Ian Clark,13
GSW,2016,Anderson Varejão,7
GSW,2016,James Michael McAdoo,4
GSW,2016,Brandon Rush,1
GSW,2017,Kevin Durant,176
GSW,2017,Stephen Curry,134
GSW,2017,Klay Thompson,82
GSW,2017,Draymond Green,55
GSW,2017,Andre Iguodala,43
GSW,2017,Shaun Livingston,33
GSW,2017,David West,21
GSW,2017,Ian Clark,19
GSW,2017,Zaza Pachulia,16
GSW,2017,Patrick McCaw,11
GSW,2017,JaVale McGee,11
GSW,2017,James Michael McAdoo,4
GSW,2017,Matt Barnes,3
CLE,2017,LeBron James,168
CLE,2017,Kyrie Irving,147
CLE,2017,Kevin Love,80
CLE,2017,J.R. Smith,59
CLE,2017,Richard Jefferson,29
CLE,2017,Tristan Thompson,28
CLE,2017,Kyle Korver,22
CLE,2017,Iman Shumpert,18
CLE,2017,Dahntay Jones,9
CLE,2017,Derrick Williams,7
CLE,2017,Deron Williams,5
CLE,2017,Channing Frye,2
CLE,2017,James Jones,0
GSW,2018,Kevin Durant,115
GSW,2018,Stephen Curry,110
GSW,2018,Klay Thompson,64
GSW,2018,Draymond Green,37
GSW,2018,JaVale McGee,32
GSW,2018,Shaun Livingston,30
GSW,2018,Jordan Bell,23
GSW,2018,Andre Iguodala,19
GSW,2018,Kevon Looney,10
GSW,2018,Zaza Pachulia,8
GSW,2018,David West,7
GSW,2018,Nick Young,5
GSW,2018,Quinn Cook,2
GSW,2018,Patrick McCaw,2
CLE,2018,LeBron James,136
CLE,2018,Kevin Love,76
CLE,2018,J.R. Smith,38
CLE,2018,George Hill,30
CLE,2018,Rodney Hood,27
CLE,2018,Tristan Thompson,27
CLE,2018,Larry Nance,23
CLE,2018,Jeff Green,21
CLE,2018,Jordan Clarkson,6
CLE,2018,Kyle Korver,6
CLE,2018,Ante Žižić,6
CLE,2018,José Calderón,4
CLE,2018,Cedi Osman,4
TOR,2019,Kawhi Leonard,171
TOR,2019,Pascal Siakam,119
TOR,2019,Kyle Lowry,97
TOR,2019,Fred VanVleet,84
TOR,2019,Marc Gasol,72
TOR,2019,Serge Ibaka,68
TOR,2019,Danny Green,44
TOR,2019,Norman Powell,11
TOR,2019,Patrick McCaw,3
TOR,2019,Jeremy Lin,0
TOR,2019,Jodie Meeks,0
TOR,2019,Malcolm Miller,0
GSW,2019,Stephen Curry,183
GSW,2019,Klay Thompson,130
GSW,2019,Draymond Green,75
GSW,2019,Andre Iguodala,55
GSW,2019,DeMarcus Cousins,50
GSW,2019,Quinn Cook,29
GSW,2019,Kevon Looney,29
GSW,2019,Shaun Livingston,28
GSW,2019,Jonas Jerebko,14
GSW,2019,Alfonzo McKinnie,13
GSW,2019,Andrew Bogut,12
GSW,2019,Kevin Durant,11
GSW,2019,Jordan Bell,6
GSW,2019,Jacob Evans,0
GSW,2019,Damian Jones,0
LAL,2020,LeBron James,179
LAL,2020,Anthony Davis,150
LAL,2020,Kentavious Caldwell-Pope,77
LAL,2020,Rajon Rondo,52
LAL,2020,Kyle Kuzma,51
LAL,2020,Danny Green,45
LAL,2020,Markieff Morris,45
LAL,2020,Alex Caruso,38
LAL,2020,Dwight Howard,17
LAL,2020,Quinn Cook,3
LAL,2020,J.R. Smith,3
LAL,2020,Jared Dudley,0
MIA,2020,Jimmy Butler,157
MIA,2020,Tyler Herro,88
MIA,2020,Duncan Robinson,75
MIA,2020,Jae Crowder,67
MIA,2020,Kendrick Nunn,63
MIA,2020,Bam Adebayo,61
MIA,2020,Kelly Olynyk,58
MIA,2020,Andre Iguodala,19
MIA,2020,Meyers Leonard,14
MIA,2020,Solomon Hill,12
MIA,2020,Goran Dragić,11
MIA,2020,Derrick Jones,2
