part	rank	time	name	year	day
1	96	Dec 01  03:02:16	(anonymous user #525)	2015	1
1	97	Dec 01  03:02:38	Seshadri R	2015	1
1	98	Dec 01  03:04:01	osguosgu	2015	1
1	99	Dec 01  03:05:11	Robert Mendel	2015	1
1	100	Dec 01  03:06:16	(anonymous user #540)	2015	1
2	1	Dec 01  00:05:38	(AoC++)	2015	1
2	2	Dec 01  00:05:40	Jonathan Cantwell	2015	1
2	3	Dec 01  00:07:49	Tyrell Neufeld	2015	1
2	4	Dec 01  00:08:01	Cristian Radu	2015	1
2	5	Dec 01  00:08:19	Joel Lathrop	2015	1
2	6	Dec 01  00:16:23	(AoC++)	2015	1
2	7	Dec 01  00:16:41	Corey Maher	2015	1
2	8	Dec 01  00:16:52	@RedaReinhart	2015	1
2	9	Dec 01  00:20:17	Joe LeGasse	2015	1
2	10	Dec 01  00:21:38	(anonymous user #288)	2015	1
2	11	Dec 01  00:22:20	Igor Naverniouk	2015	1
2	12	Dec 01  00:26:49	(anonymous user #286)	2015	1
2	13	Dec 01  00:29:02	Noah Pena	2015	1
2	14	Dec 01  00:29:23	widgeonway	2015	1
2	15	Dec 01  00:30:41	@mikesmoniker	2015	1
2	16	Dec 01  00:32:26	Naresh reddy	2015	1
2	17	Dec 01  00:36:42	@jan_walther	2015	1
2	18	Dec 01  00:37:52	(anonymous user #296)	2015	1
2	19	Dec 01  00:37:52	Joshua Orvis	2015	1
2	20	Dec 01  00:38:08	SeeWhy	2015	1
2	21	Dec 01  00:42:02	KamChanLiu	2015	1
2	22	Dec 01  00:42:54	darinc	2015	1
2	23	Dec 01  00:43:07	alpoe	2015	1
2	24	Dec 01  00:47:09	icholy	2015	1
2	25	Dec 01  00:54:40	(anonymous user #316)	2015	1
2	26	Dec 01  01:03:50	JoggingThruThe6	2015	1
2	27	Dec 01  01:04:23	Jean-Karim Bockstael	2015	1
2	28	Dec 01  01:04:25	Caleb Brown	2015	1
2	29	Dec 01  01:04:31	tobiowo	2015	1
2	30	Dec 01  01:07:08	danieljin	2015	1
2	31	Dec 01  01:08:09	Matthew Semeniuk	2015	1
2	32	Dec 01  01:14:39	favrik	2015	1
2	33	Dec 01  01:16:06	jhalley	2015	1
2	34	Dec 01  01:17:40	randreucetti	2015	1
2	35	Dec 01  01:18:56	(anonymous user #339)	2015	1
2	36	Dec 01  01:20:03	Berk Alyamach	2015	1
2	37	Dec 01  01:20:16	Retsam	2015	1
2	38	Dec 01  01:23:48	(anonymous user #345)	2015	1
2	39	Dec 01  01:24:15	malisper	2015	1
2	40	Dec 01  01:25:09	jacob	2015	1
2	41	Dec 01  01:25:53	Richard Miller	2015	1
2	42	Dec 01  01:26:29	Jacky Lam	2015	1
2	43	Dec 01  01:30:27	Matt Jennings	2015	1
2	44	Dec 01  01:34:42	Zopherus	2015	1
2	45	Dec 01  01:34:52	(anonymous user #362)	2015	1
2	46	Dec 01  01:35:05	(anonymous user #361)	2015	1
2	47	Dec 01  01:36:53	Taylor Growden (my-blue-snog-box)	2015	1
2	48	Dec 01  01:37:14	Alexandr Raskin	2015	1
2	49	Dec 01  01:37:44	(anonymous user #356)	2015	1
2	50	Dec 01  01:38:44	(anonymous user #369)	2015	1
2	51	Dec 01  01:40:16	Tommy Chanthaboune	2015	1
2	52	Dec 01  01:41:39	(anonymous user #360)	2015	1
2	53	Dec 01  01:41:49	stemog	2015	1
2	54	Dec 01  01:42:36	lazandrei19	2015	1
2	55	Dec 01  01:42:55	(anonymous user #380)	2015	1
2	56	Dec 01  01:43:41	owenso	2015	1
2	57	Dec 01  01:45:44	Spencer Pollock	2015	1
2	58	Dec 01  01:47:29	missblit	2015	1
2	59	Dec 01  01:48:44	goldemerald	2015	1
2	60	Dec 01  01:49:03	UWarbs	2015	1
2	61	Dec 01  01:49:57	(anonymous user #384)	2015	1
2	62	Dec 01  01:50:01	gintrator	2015	1
2	63	Dec 01  01:51:23	Clifford Duke	2015	1
2	64	Dec 01  01:53:48	(anonymous user #398)	2015	1
2	65	Dec 01  01:55:37	Trey Spires	2015	1
2	66	Dec 01  01:56:22	Juven Ardine	2015	1
2	67	Dec 01  01:56:39	Fredrik Storøy	2015	1
2	68	Dec 01  01:59:08	Ben Wolfram	2015	1
2	69	Dec 01  02:01:27	RakijaH	2015	1
2	70	Dec 01  02:01:29	Dávid Pörös	2015	1
2	71	Dec 01  02:02:17	Brant Wladichuk	2015	1
2	72	Dec 01  02:02:57	(anonymous user #413)	2015	1
2	73	Dec 01  02:02:58	GrizzlyAdams63	2015	1
2	74	Dec 01  02:06:47	t2davis	2015	1
2	75	Dec 01  02:07:14	slapec	2015	1
2	76	Dec 01  02:10:13	Grayden Hormes	2015	1
2	77	Dec 01  02:10:53	Derek Knechtel	2015	1
2	78	Dec 01  02:11:11	Rijir	2015	1
2	79	Dec 01  02:12:41	Georg Metzger	2015	1
2	80	Dec 01  02:12:50	wrzazg	2015	1
2	81	Dec 01  02:13:07	MonkeyBrain4U	2015	1
2	82	Dec 01  02:14:31	(anonymous user #439)	2015	1
2	83	Dec 01  02:14:53	Tyler Kelley	2015	1
2	84	Dec 01  02:15:31	(anonymous user #447)	2015	1
2	85	Dec 01  02:22:33	Dexter John Chua	2015	1
2	86	Dec 01  02:22:36	Brynley McDonald	2015	1
2	87	Dec 01  02:23:24	Quadrophone	2015	1
2	88	Dec 01  02:26:49	Pavan Nikhilesh	2015	1
2	89	Dec 01  02:27:02	juno1990ahn	2015	1
2	90	Dec 01  02:28:13	Flnz	2015	1
2	91	Dec 01  02:29:49	(anonymous user #476)	2015	1
2	92	Dec 01  02:29:55	(anonymous user #473)	2015	1
2	93	Dec 01  02:31:31	SSteel2	2015	1
2	94	Dec 01  02:31:40	(anonymous user #478)	2015	1
2	95	Dec 01  02:31:58	(anonymous user #435)	2015	1
2	96	Dec 01  02:32:25	Jonas Bülow	2015	1
2	97	Dec 01  02:32:52	dougg3	2015	1
2	98	Dec 01  02:32:58	AlliMcPalli	2015	1
2	99	Dec 01  02:33:08	shamittomar	2015	1
2	100	Dec 01  02:34:31	(anonymous user #482)	2015	1
1	1	Dec 10  00:02:30	glguy	2015	10
1	2	Dec 10  00:02:48	DSM	2015	10
1	3	Dec 10  00:03:14	Andrew He	2015	10
1	4	Dec 10  00:03:31	Sreeram Ramachandran	2015	10
1	5	Dec 10  00:03:35	Jacob Young	2015	10
1	6	Dec 10  00:03:44	jkseppan	2015	10
1	7	Dec 10  00:03:46	jweather	2015	10
1	8	Dec 10  00:03:52	Paul Hankin	2015	10
1	9	Dec 10  00:03:59	dsemi	2015	10
1	10	Dec 10  00:04:21	(anonymous user #8336)	2015	10
1	11	Dec 10  00:04:36	dragonnyxx	2015	10
1	12	Dec 10  00:04:40	Chris Egerton	2015	10
1	13	Dec 10  00:04:47	Eli Lipsitz	2015	10
1	14	Dec 10  00:04:58	Andrew Skalski	2015	10
1	15	Dec 10  00:05:00	msullivan	2015	10
1	16	Dec 10  00:05:06	hlian	2015	10
1	17	Dec 10  00:05:10	grencez	2015	10
1	18	Dec 10  00:05:15	marcusstuhr	2015	10
1	19	Dec 10  00:05:26	Henrik Hellenborg	2015	10
1	20	Dec 10  00:05:36	vesche	2015	10
1	21	Dec 10  00:05:41	0	2015	10
1	22	Dec 10  00:05:49	Marc-André Beaudet-Racine	2015	10
1	23	Dec 10  00:05:57	Talchas	2015	10
1	24	Dec 10  00:05:58	Erik Godard	2015	10
1	25	Dec 10  00:06:07	kalven	2015	10
1	26	Dec 10  00:06:09	(anonymous user #6658)	2015	10
1	27	Dec 10  00:06:10	❄⛄ eevee ⛄❄	2015	10
1	28	Dec 10  00:06:15	Roderic Day	2015	10
1	29	Dec 10  00:06:16	(anonymous user #19765)	2015	10
1	30	Dec 10  00:06:20	NickSifniotis	2015	10
1	31	Dec 10  00:06:36	dylanhart	2015	10
1	32	Dec 10  00:06:45	Daniel Rejment	2015	10
1	33	Dec 10  00:06:48	Rob Biedenharn	2015	10
1	34	Dec 10  00:06:50	Jānis Lībeks	2015	10
1	35	Dec 10  00:07:07	chz16	2015	10
1	36	Dec 10  00:07:08	Jacob Dennerlein	2015	10
1	37	Dec 10  00:07:09	Eric Toulson	2015	10
1	38	Dec 10  00:07:11	Mark Kahn	2015	10
1	39	Dec 10  00:07:28	Joel Lathrop	2015	10
1	40	Dec 10  00:07:32	balidani	2015	10
1	41	Dec 10  00:07:37	huangchris	2015	10
1	42	Dec 10  00:07:52	edanaher	2015	10
1	43	Dec 10  00:07:57	Tryneus	2015	10
1	44	Dec 10  00:08:04	heinrich5991	2015	10
1	45	Dec 10  00:08:07	Yusyuriv	2015	10
1	46	Dec 10  00:08:11	zosiu	2015	10
1	47	Dec 10  00:08:21	Evan Burak	2015	10
1	48	Dec 10  00:08:31	Pedro Osório	2015	10
1	49	Dec 10  00:08:34	Kesavan Yogeswaran	2015	10
1	50	Dec 10  00:08:39	CAD97	2015	10
1	51	Dec 10  00:08:41	dougg3	2015	10
1	52	Dec 10  00:08:43	Godspiral	2015	10
1	53	Dec 10  00:08:48	Alex Crimi	2015	10
1	54	Dec 10  00:09:02	(anonymous user #35749)	2015	10
1	55	Dec 10  00:09:05	Thomas Scallon	2015	10
1	56	Dec 10  00:09:15	Caleb Brown	2015	10
1	57	Dec 10  00:09:16	(anonymous user #18301)	2015	10
1	58	Dec 10  00:09:22	aepsilon	2015	10
1	59	Dec 10  00:09:28	Chris Lefever	2015	10
1	60	Dec 10  00:09:34	Sala	2015	10
1	61	Dec 10  00:09:41	Bart Massey	2015	10
1	62	Dec 10  00:09:43	jlmcmchl	2015	10
1	63	Dec 10  00:09:44	Scott Emerson	2015	10
1	64	Dec 10  00:09:46	Jinming Shao	2015	10
1	65	Dec 10  00:09:50	Hugo Hudson	2015	10
1	66	Dec 10  00:09:57	(AoC++)	2015	10
1	67	Dec 10  00:10:08	(anonymous user #35470)	2015	10
1	68	Dec 10  00:10:10	Joe LeGasse	2015	10
1	69	Dec 10  00:10:14	kristjan	2015	10
1	70	Dec 10  00:10:21	Paul Johnson	2015	10
1	71	Dec 10  00:10:23	Elliott Sales de Andrade	2015	10
1	72	Dec 10  00:10:23	madeinqc	2015	10
1	73	Dec 10  00:10:33	(anonymous user #18180)	2015	10
1	74	Dec 10  00:10:34	soolar	2015	10
1	75	Dec 10  00:10:38	David Wetterau	2015	10
1	76	Dec 10  00:10:40	Piotr Piatkowski	2015	10
1	77	Dec 10  00:10:45	def-	2015	10
1	78	Dec 10  00:10:46	gtllama	2015	10
1	79	Dec 10  00:10:52	ahorner	2015	10
1	80	Dec 10  00:10:56	reacher	2015	10
1	81	Dec 10  00:10:57	Kenneth Ruddick	2015	10
1	82	Dec 10  00:10:58	Boris Egorov	2015	10
1	83	Dec 10  00:11:00	David Stockton	2015	10
1	84	Dec 10  00:11:01	noah chen	2015	10
1	85	Dec 10  00:11:07	@ReadableName	2015	10
1	86	Dec 10  00:11:09	David Grenier	2015	10
1	87	Dec 10  00:11:10	David Clyde	2015	10
1	88	Dec 10  00:11:16	Hui Zhou	2015	10
1	89	Dec 10  00:11:20	(AoC++)	2015	10
1	90	Dec 10  00:11:23	(anonymous user #10353)	2015	10
1	91	Dec 10  00:11:25	Ryman	2015	10
1	92	Dec 10  00:11:28	michaf	2015	10
1	93	Dec 10  00:11:37	Jonathan Ostrander	2015	10
1	94	Dec 10  00:11:40	DrakiaXYZ	2015	10
1	95	Dec 10  00:11:48	Peter Ruibal	2015	10
